organization_name,coursera_name,coursera_code,star,reviews,level,result
IBM,IBM Data Science Professional Certificate,IBM Data Science Professional Certificate,4.6,70689,Beginner level,"['Master the most up-to-date practical skills and knowledge that data scientists use in their daily roles', 'Learn the tools, languages, and libraries used by professional data scientists, including Python and SQL', 'Import and clean data sets, analyze and visualize data, and build machine learning models and pipelines', 'Apply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers']"
IBM,Introduction to Data Science Specialization,Introduction to Data Science Specialization,4.7,12522,Beginner level,"['Describe what data science and machine learning are, their applications & use cases, and various types of tasks performed by data scientists  ', '', 'Gain hands-on familiarity with common data science tools including JupyterLab, R Studio, GitHub and Watson Studio ', '', 'Develop the mindset to work like a data scientist, and follow a methodology to tackle different types of data science problems', '', 'Write SQL statements and query Cloud databases using Python from Jupyter notebooks', '']"
Google Cloud,Advanced Machine Learning on Google Cloud Specialization,Advanced Machine Learning on Google Cloud Specialization,4.5,1933,Advanced level,[]
Coursera Instructor Network,GenAI for Everyone,GenAI for Everyone,NaN,NaN,Beginner level,"['Discovered what GenAI is, including its capabilities and limitations.', 'Gained an understanding of the broad applications of GenAI across different teams and roles.', 'Explored the ethical considerations and the future of work with GenAI.']"
Johns Hopkins University,Data Science in Real Life,Data Science in Real Life,4.5,2354,Advanced level,"['Identify strengths and weaknesses in experimental designs', 'Learn novel solutions for managing data pulls', 'Describe common pitfalls in communicating data analyses', 'Understand a typical day in the life of a data analysis manager']"
Johns Hopkins University,Data Visualization & Dashboarding with R Specialization,Data Visualization & Dashboarding with R Specialization,4.9,304,Beginner level,[]
University of Toronto,"GIS, Mapping, and Spatial Analysis Specialization","GIS, Mapping, and Spatial Analysis Specialization",4.9,2346,Beginner level,[]
Coursera Project Network,Data Analysis Using Pyspark,Data Analysis Using Pyspark,4.5,282,Intermediate level,"['Learn how to setup the google colab for distributed data processing ', 'Learn applying different queries to your dataset to extract useful Information', 'Learn how to visualize this information using matplotlib']"
Duke University,MLOps | Machine Learning Operations Specialization,MLOps | Machine Learning Operations Specialization,3.9,142,Advanced level,"['Master Python fundamentals, MLOps principles, and data management to build and deploy ML models in production environments.', 'Utilize Amazon Sagemaker / AWS, Azure, MLflow, and Hugging Face for end-to-end ML solutions, pipeline creation, and API development.', 'Fine-tune and deploy Large Language Models (LLMs) and containerized models using the ONNX format with Hugging Face.', 'Design a full MLOps pipeline with MLflow, managing projects, models, and tracking system features.']"
Coursera Project Network,Essential Causal Inference Techniques for Data Science,Essential Causal Inference Techniques for Data Science,4.5,35,Beginner level,"['Learn the limitations of AB testing and why causal inference techniques can be powerful.', 'Understand the intuition behind and how to implement the four main causal inference techniques in R.', 'Explore newer methods at the intersection of causal inference and machine learning and implement them in R.']"
University of Colorado Boulder,Expressway to Data Science: R Programming and Tidyverse Specialization,Expressway to Data Science: R Programming and Tidyverse Specialization,4.2,30,Beginner level,"['Install R and configure RStudio', 'Use the tidyverse to import, tidy, and join data', 'Create clear and effective data visualizations using the ggplot2 library', 'Develop and communicate reproducible research using RMarkdown']"
Codio,Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,3.6,22,Beginner level,"['Be familiar with data science libraries in Python and R. ', 'Data transformation and normalization in Python and R.', 'Create graph and charts using Python and R.']"
SAS,SAS Visual Business Analytics Professional Certificate,SAS Visual Business Analytics Professional Certificate,4.7,942,Beginner level,"['How to explore data using SAS Visual Analytics', 'How to create interactive reports using SAS Visual Analytics', 'How to prepare data using SAS Data Studio']"
IBM,IBM Data Analyst Professional Certificate,IBM Data Analyst Professional Certificate,4.7,17996,Beginner level,"['Master the most up-to-date practical skills and tools that data analysts use in their daily roles', 'Learn how to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & Tableau', 'Develop working knowledge of Python language for analyzing data using Python libraries like Pandas and Numpy, and invoke APIs and Web Services ', 'Gain technical experience through hands on labs and projects and build a portfolio to showcase your work']"
"University of California, Irvine",Use Tableau for Your Data Science Workflow Specialization,Use Tableau for Your Data Science Workflow Specialization,4.0,17,Beginner level,"['Explain fundamental concepts behind visualizations.', 'Setup and perform data analysis using industry-standard models.', 'Create a Tableau dashboard implementing major tasks of analytics deployment: define business goals, prepare data, select, model, and present results.']"
Google Cloud,Machine Learning on Google Cloud Specialization,Machine Learning on Google Cloud Specialization,4.6,8467,Intermediate level,"['Use Vertex AI AutoML and BigQuery ML to build, train, and deploy ML models', 'Implement machine learning models using Keras and TensorFlow 2.x', 'Implement machine learning in the enterprise best practices', 'Describe how to perform exploratory data analysis and improve data quality']"
University of Zurich,An Intuitive Introduction to Probability,An Intuitive Introduction to Probability,4.8,1692,Beginner level,[]
Databricks,Applied Data Science for Data Analysts,Applied Data Science for Data Analysts,4.4,50,Intermediate level,"['Explore data using unsupervised machine learning. ', 'Solve complex supervised learning problems using tree-based models.', 'Apply hyperparameter tuning and cross-validation strategies to improve model performance.']"
Johns Hopkins University,Linear Algebra from Elementary to Advanced Specialization,Linear Algebra from Elementary to Advanced Specialization,4.8,51,Beginner level,[]
Edureka,Use Tableau for your Data Science Workflow,Use Tableau for your Data Science Workflow,NaN,NaN,Beginner level,[]
University of Colorado Boulder,Data Science as a Field,Data Science as a Field,4.2,30,Intermediate level,"['By taking this course, you will be able explain what data science is and identify the key disciplines involved.', '', 'You will be able to use the steps of the data science process to create a reproducible data analysis and identify personal biases.', '', 'You will be able to identify interesting data science applications, locate jobs in Data Science, and begin developing a professional network.', '', '']"
Fractal Analytics,Python for Data Science,Python for Data Science,4.3,30,Beginner level,"['Explain the significance of Python in data science and its real-world applications.', 'Apply Python to manipulate and analyze diverse data sources, using Pandas and relevant data types', 'Create informative data visualizations and draw insights from data distributions and feature relationships', 'Develop a comprehensive data preparation workflow for machine learning, including data rescaling and feature engineering']"
Johns Hopkins University,The Data Scientist’s Toolbox,The Data Scientist’s Toolbox,4.6,33858,Beginner level,"['Set up R, R-Studio, Github and other useful tools', 'Understand the data, problems, and tools that data analysts use', 'Explain essential study design concepts', 'Create a Github repository']"
University of Colorado Boulder,Machine Learning: Theory and Hands-on Practice with Python Specialization,Machine Learning: Theory and Hands-on Practice with Python Specialization,3.7,45,Intermediate level,"['Explore several classic Supervised and Unsupervised Learning algorithms and introductory Deep Learning topics.  ', 'Build and evaluate Machine Learning models utilizing popular Python libraries and compare each algorithm’s strengths and weaknesses.', 'Explain which Machine Learning models would be best to apply to a Machine Learning task based on the data’s properties.', 'Improve model performance by tuning hyperparameters and applying various techniques such as sampling and regularization.']"
Google,Google Advanced Data Analytics Professional Certificate,Google Advanced Data Analytics Professional Certificate,4.8,2843,Advanced level,"['Explore the roles of data professionals within an organization ', 'Create data visualizations and apply statistical methods to investigate data', 'Build regression and machine learning models to analyze and interpret data', 'Communicate insights from data analysis to stakeholders']"
